indicative future 1SG	{X}ելու եմ	{X}ելու եմ	{X}ալու եմ	{X}նալու եմ	{X}նալու եմ	{X}ցնելու եմ	{X}ցնելու եմ	{X}նելու եմ	{X}նելու եմ	{X}նելու եմ	{X}նելու եմ	{X}նելու եմ	{X}նելու եմ	{X}նելու եմ	{Xprs}ելու եմ	{Xprs}ելու եմ	{Xprs}ելու եմ	{Xprs}ելու եմ	{Xprs}ալու եմ	{Xprs}ալու եմ	{Xprs}ալու եմ			{X}ելու եմ	{X}ելու եմ	{Xprs}նալու եմ	{X}նալու եմ	{X}ելու եմ
indicative future 2SG	{X}ելու ես	{X}ելու ես	{X}ալու ես	{X}նալու ես	{X}նալու ես	{X}ցնելու ես	{X}ցնելու ես	{X}նելու ես	{X}նելու ես	{X}նելու ես	{X}նելու ես	{X}նելու ես	{X}նելու ես	{X}նելու ես	{Xprs}ելու ես	{Xprs}ելու ես	{Xprs}ելու ես	{Xprs}ելու ես	{Xprs}ալու ես	{Xprs}ալու ես	{Xprs}ալու ես			{X}ելու ես	{X}ելու ես	{Xprs}նալու ես	{X}նալու ես	{X}ելու ես
indicative future 3SG	{X}ելու ա	{X}ելու ա	{X}ալու ա	{X}նալու ա	{X}նալու ա	{X}ցնելու ա	{X}ցնելու ա	{X}նելու ա	{X}նելու ա	{X}նելու ա	{X}նելու ա	{X}նելու ա	{X}նելու ա	{X}նելու ա	{Xprs}ելու ա	{Xprs}ելու ա	{Xprs}ելու ա	{Xprs}ելու ա	{Xprs}ալու ա	{Xprs}ալու ա	{Xprs}ալու ա			{X}ելու ա	{X}ելու ա	{Xprs}նալու ա	{X}նալու ա	{X}ելու ա
indicative future 1PL	{X}ելու ենք	{X}ելու ենք	{X}ալու ենք	{X}նալու ենք	{X}նալու ենք	{X}ցնելու ենք	{X}ցնելու ենք	{X}նելու ենք	{X}նելու ենք	{X}նելու ենք	{X}նելու ենք	{X}նելու ենք	{X}նելու ենք	{X}նելու ենք	{Xprs}ելու ենք	{Xprs}ելու ենք	{Xprs}ելու ենք	{Xprs}ելու ենք	{Xprs}ալու ենք	{Xprs}ալու ենք	{Xprs}ալու ենք			{X}ելու ենք	{X}ելու ենք	{Xprs}նալու ենք	{X}նալու ենք	{X}ելու ենք
indicative future 2PL	{X}ելու էք	{X}ելու էք	{X}ալու էք	{X}նալու էք	{X}նալու էք	{X}ցնելու էք	{X}ցնելու էք	{X}նելու էք	{X}նելու էք	{X}նելու էք	{X}նելու էք	{X}նելու էք	{X}նելու էք	{X}նելու էք	{Xprs}ելու էք	{Xprs}ելու էք	{Xprs}ելու էք	{Xprs}ելու էք	{Xprs}ալու էք	{Xprs}ալու էք	{Xprs}ալու էք			{X}ելու էք	{X}ելու էք	{Xprs}նալու էք	{X}նալու էք	{X}ելու էք
indicative future 3PL	{X}ելու են	{X}ելու են	{X}ալու են	{X}նալու են	{X}նալու են	{X}ցնելու են	{X}ցնելու են	{X}նելու են	{X}նելու են	{X}նելու են	{X}նելու են	{X}նելու են	{X}նելու են	{X}նելու են	{Xprs}ելու են	{Xprs}ելու են	{Xprs}ելու են	{Xprs}ելու են	{Xprs}ալու են	{Xprs}ալու են	{Xprs}ալու են			{X}ելու են	{X}ելու են	{Xprs}նալու են	{X}նալու են	{X}ելու են
negative indicative future 1SG	չեմ {X}ելու	չեմ {X}ելու	չեմ {X}ալու	չեմ {X}նալու	չեմ {X}նալու	չեմ {X}ցնելու	չեմ {X}ցնելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {X}նելու	չեմ {Xprs}ելու	չեմ {Xprs}ելու	չեմ {Xprs}ելու	չեմ {Xprs}ելու	չեմ {Xprs}ալու	չեմ {Xprs}ալու	չեմ {Xprs}ալու			չեմ {X}ելու	չեմ {X}ելու	չեմ {Xprs}նալու	չեմ {X}նալու	չեմ {X}ելու
negative indicative future 2SG	չես {X}ելու	չես {X}ելու	չես {X}ալու	չես {X}նալու	չես {X}նալու	չես {X}ցնելու	չես {X}ցնելու	չես {X}նելու	չես {X}նելու	չես {X}նելու	չես {X}նելու	չես {X}նելու	չես {X}նելու	չես {X}նելու	չես {Xprs}ելու	չես {Xprs}ելու	չես {Xprs}ելու	չես {Xprs}ելու	չես {Xprs}ալու	չես {Xprs}ալու	չես {Xprs}ալու			չես {X}ելու	չես {X}ելու	չես {Xprs}նալու	չես {X}նալու	չես {X}ելու
negative indicative future 3SG	չի {X}ելու	չի {X}ելու	չի {X}ալու	չի {X}նալու	չի {X}նալու	չի {X}ցնելու	չի {X}ցնելու	չի {X}նելու	չի {X}նելու	չի {X}նելու	չի {X}նելու	չի {X}նելու	չի {X}նելու	չի {X}նելու	չի {Xprs}ելու	չի {Xprs}ելու	չի {Xprs}ելու	չի {Xprs}ելու	չի {Xprs}ալու	չի {Xprs}ալու	չի {Xprs}ալու			չի {X}ելու	չի {X}ելու	չի {Xprs}նալու	չի {X}նալու	չի {X}ելու
negative indicative future 1PL	չենք {X}ելու	չենք {X}ելու	չենք {X}ալու	չենք {X}նալու	չենք {X}նալու	չենք {X}ցնելու	չենք {X}ցնելու	չենք {X}նելու	չենք {X}նելու	չենք {X}նելու	չենք {X}նելու	չենք {X}նելու	չենք {X}նելու	չենք {X}նելու	չենք {Xprs}ելու	չենք {Xprs}ելու	չենք {Xprs}ելու	չենք {Xprs}ելու	չենք {Xprs}ալու	չենք {Xprs}ալու	չենք {Xprs}ալու			չենք {X}ելու	չենք {X}ելու	չենք {Xprs}նալու	չենք {X}նալու	չենք {X}ելու
