negative indicative past imperfective 1PL	չինք երգում	չինք ուղարկում	չինք կարդում	չինք ցանկանում	չինք ուրախանում	չինք վերցնում	չինք ուրախացնում	չինք մեռնում	չինք իջնում	չինք փախնում	չինք առնում	չինք տեսնում	չինք էլնում	չինք թողնում	չինք ուտում	չինք անում	չինք տանում	չինք դնում	չինք էթում	չինք տալիս	չինք գալիս	չկայինք	չունինք	չարժինք	չինք բերում	չինք ասում	չինք դառնում	չինք լուանում	չինք բացում
negative indicative past imperfective 2PL	չիք երգում	չիք ուղարկում	չիք կարդում	չիք ցանկանում	չիք ուրախանում	չիք վերցնում	չիք ուրախացնում	չիք մեռնում	չիք իջնում	չիք փախնում	չիք առնում	չիք տեսնում	չիք էլնում	չիք թողնում	չիք ուտում	չիք անում	չիք տանում	չիք դնում	չիք էթում	չիք տալիս	չիք գալիս	չկայիք	չունիք	չարժիք	չիք բերում	չիք ասում	չիք դառնում	չիք լուանում	չիք բացում
negative indicative past imperfective 3PL	չին երգում	չին ուղարկում	չին կարդում	չին ցանկանում	չին ուրախանում	չին վերցնում	չին ուրախացնում	չին մեռնում	չին իջնում	չին փախնում	չին առնում	չին տեսնում	չին էլնում	չին թողնում	չին ուտում	չին անում	չին տանում	չին դնում	չին էթում	չին տալիս	չին գալիս	չկայինք	չունինք	չարժինք	չին բերում	չին ասում	չին դառնում	չին լուանում	չին բացում
indicative future 1SG	երգելու եմ	ուղարկելու եմ	կարդալու եմ	ցանկանալու եմ	ուրախանալու եմ	վերցնելու եմ	ուրախացնելու եմ	մեռնելու եմ	իջնելու եմ	փախնելու եմ	առնելու եմ	տեսնելու եմ	էլնելու եմ	թողնելու եմ	ուտելու եմ	անելու եմ	տանելու եմ	դնելու եմ	էթալու եմ	տալու եմ	գալու եմ				բերելու եմ	ասելու եմ	դառնալու եմ	լուանալու եմ	բացելու եմ
indicative future 2SG	երգելու ես	ուղարկելու ես	կարդալու ես	ցանկանալու ես	ուրախանալու ես	վերցնելու ես	ուրախացնելու ես	մեռնելու ես	իջնելու ես	փախնելու ես	առնելու ես	տեսնելու ես	էլնելու ես	թողնելու ես	ուտելու ես	անելու ես	տանելու ես	դնելու ես	էթալու ես	տալու ես	գալու ես				բերելու ես	ասելու ես	դառնալու ես	լուանալու ես	բացելու ես
indicative future 3SG	երգելու ա	ուղարկելու ա	կարդալու ա	ցանկանալու ա	ուրախանալու ա	վերցնելու ա	ուրախացնելու ա	մեռնելու ա	իջնելու ա	փախնելու ա	առնելու ա	տեսնելու ա	էլնելու ա	թողնելու ա	ուտելու ա	անելու ա	տանելու ա	դնելու ա	էթալու ա	տալու ա	գալու ա				բերելու ա	ասելու ա	դառնալու ա	լուանալու ա	բացելու ա
indicative future 1PL	երգելու ենք	ուղարկելու ենք	կարդալու ենք	ցանկանալու ենք	ուրախանալու ենք	վերցնելու ենք	ուրախացնելու ենք	մեռնելու ենք	իջնելու ենք	փախնելու ենք	առնելու ենք	տեսնելու ենք	էլնելու ենք	թողնելու ենք	ուտելու ենք	անելու ենք	տանելու ենք	դնելու ենք	էթալու ենք	տալու ենք	գալու ենք				բերելու ենք	ասելու ենք	դառնալու ենք	լուանալու ենք	բացելու ենք
indicative future 2PL	երգելու էք	ուղարկելու էք	կարդալու էք	ցանկանալու էք	ուրախանալու էք	վերցնելու էք	ուրախացնելու էք	մեռնելու էք	իջնելու էք	փախնելու էք	առնելու էք	տեսնելու էք	էլնելու էք	թողնելու էք	ուտելու էք	անելու էք	տանելու էք	դնելու էք	էթալու էք	տալու էք	գալու էք				բերելու էք	ասելու էք	դառնալու էք	լուանալու էք	բացելու էք
indicative future 3PL	երգելու են	ուղարկելու են	կարդալու են	ցանկանալու են	ուրախանալու են	վերցնելու են	ուրախացնելու են	մեռնելու են	իջնելու են	փախնելու են	առնելու են	տեսնելու են	էլնելու են	թողնելու են	ուտելու են	անելու են	տանելու են	դնելու են	էթալու են	տալու են	գալու են				բերելու են	ասելու են	դառնալու են	լուանալու են	բացելու են
negative indicative future 1SG	չեմ երգելու	չեմ ուղարկելու	չեմ կարդալու	չեմ ցանկանալու	չեմ ուրախանալու	չեմ վերցնելու	չեմ ուրախացնելու	չեմ մեռնելու	չեմ իջնելու	չեմ փախնելու	չեմ առնելու	չեմ տեսնելու	չեմ էլնելու	չեմ թողնելու	չեմ ուտելու	չեմ անելու	չեմ տանելու	չեմ դնելու	չեմ էթալու	չեմ տալու	չեմ գալու				չեմ բերելու	չեմ ասելու	չեմ դառնալու	չեմ լուանալու	չեմ բացելու
negative indicative future 2SG	չես երգելու	չես ուղարկելու	չես կարդալու	չես ցանկանալու	չես ուրախանալու	չես վերցնելու	չես ուրախացնելու	չես մեռնելու	չես իջնելու	չես փախնելու	չես առնելու	չես տեսնելու	չես էլնելու	չես թողնելու	չես ուտելու	չես անելու	չես տանելու	չես դնելու	չես էթալու	չես տալու	չես գալու				չես բերելու	չես ասելու	չես դառնալու	չես լուանալու	չես բացելու
negative indicative future 3SG	չի երգելու	չի ուղարկելու	չի կարդալու	չի ցանկանալու	չի ուրախանալու	չի վերցնելու	չի ուրախացնելու	չի մեռնելու	չի իջնելու	չի փախնելու	չի առնելու	չի տեսնելու	չի էլնելու	չի թողնելու	չի ուտելու	չի անելու	չի տանելու	չի դնելու	չի էթալու	չի տալու	չի գալու				չի բերելու	չի ասելու	չի դառնալու	չի լուանալու	չի բացելու
negative indicative future 1PL	չենք երգելու	չենք ուղարկելու	չենք կարդալու	չենք ցանկանալու	չենք ուրախանալու	չենք վերցնելու	չենք ուրախացնելու	չենք մեռնելու	չենք իջնելու	չենք փախնելու	չենք առնելու	չենք տեսնելու	չենք էլնելու	չենք թողնելու	չենք ուտելու	չենք անելու	չենք տանելու	չենք դնելու	չենք էթալու	չենք տալու	չենք գալու				չենք բերելու	չենք ասելու	չենք դառնալու	չենք լուանալու	չենք բացելու
